Symbol,Company
BTC/USD,Bitcoin
ETH/USD,Ethereum
SOL/USD,Solana
XRP/USD,Ripple
ADA/USD,Cardano
DOT/USD,Polkadot
AVAX/USD,Avalanche
MATIC/USD,Polygon
LINK/USD,Chainlink
UNI/USD,Uniswap
ATOM/USD,Cosmos
LTC/USD,Litecoin
BCH/USD,Bitcoin Cash
NEAR/USD,Near Protocol
ALGO/USD,Algorand
VET/USD,VeChain
FTM/USD,Fantom
EGLD/USD,Elrond
HNT/USD,Helium
AAVE/USD,Aave
MKR/USD,Maker
COMP/USD,Compound
CRV/USD,Curve
SNX/USD,Synthetix
YFI/USD,Yearn
SUSHI/USD,SushiSwap
BAT/USD,Basic Attention
ZIL/USD,Zilliqa
ONT/USD,Ontology
IOTA/USD,IOTA
XLM/USD,Stellar
EOS/USD,EOS
NEO/USD,NEO
TRX/USD,Tron
XTZ/USD,Tezos
ATOM/USD,Cosmos
DAI/USD,Dai
USDC/USD,USD Coin
TUSD/USD,TrueUSD
BUSD/USD,Binance USD
PAXG/USD,Pax Gold
XMR/USD,Monero
DASH/USD,Dash
ZEC/USD,Zcash
DOGE/USD,Dogecoin
SHIB/USD,Shiba Inu
PEPE/USD,Pepe
BONK/USD,Bonk
WIF/USD,WiF
FLOKI/USD,FLOKI
